交易日,投资者帐号,可用资金,期货结算准备金,经纪公司代码,资金差额,平仓盈亏,手续费,信用额度,当前保证金总额,投资者交割保证金,入金金额,交易所交割保证金,交易所保证金,冻结的资金,冻结的手续费,冻结的保证金,利息收入,利息基数,质押金额,持仓盈亏,上次结算准备金,上次信用额度,上次存款额,上次占用的保证金,上次质押金额,基本准备金,结算编号,出金金额,可取资金
20161122,031116,834326.938575,847014.338575,9999,0,4565,232.141425,0,8122.4,0,0,0,8122.4,0,0,0,0,0,0,-190,842871.48,0,827328.48,15543,0,0,1,0,587224.3570025
20161121,031116,833310.35,840455.05,9999,0,0,0,0,7144.7,0,0,0,7144.7,0,0,0,0,0,0,-1570,842025.05,0,834880.35,7144.7,0,0,1,0,583317.245
20161121,031116,695671.82165,837847.37165,9999,0,-1510,132.67835,0,104264.25,0,0,0,104264.25,0,29.4,37881.9,0,0,0,-2535,842025.05,0,834880.35,7144.7,0,0,1,0,486970.275155
20161121,031116,648137.82165,836674.97165,9999,0,-2870,235.07835,0,188537.15,0,0,0,188537.15,0,0,0,0,0,0,-2245,842025.05,0,834880.35,7144.7,0,0,1,0,453696.475155
20161121,031116,645059.82165,840807.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,1895,842025.05,0,834880.35,7144.7,0,0,1,0,452868.375155
20161121,031116,645059.82165,840517.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,1605,842025.05,0,834880.35,7144.7,0,0,1,0,452665.375155
20161121,031116,645059.82165,839527.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,615,842025.05,0,834880.35,7144.7,0,0,1,0,451972.375155
20161121,031116,644514.82165,838367.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,-545,842025.05,0,834880.35,7144.7,0,0,1,0,451160.375155
20161121,031116,643914.82165,837767.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,-1145,842025.05,0,834880.35,7144.7,0,0,1,0,450740.375155
20161121,031116,644434.82165,838287.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,-625,842025.05,0,834880.35,7144.7,0,0,1,0,451104.375155
20161121,031116,644544.82165,838397.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,-515,842025.05,0,834880.35,7144.7,0,0,1,0,451181.375155
20161123,031116,837800,845847.6,9999,0,0,0,0,8047.6,0,0,0,8047.6,0,0,0,0,0,0,0,845847.6,0,837800,8047.6,0,0,1,0,586460
20161121,031116,645059.82165,839737.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,825,842025.05,0,834880.35,7144.7,0,0,1,0,452119.375155
20161121,031116,644764.82165,838617.97165,9999,0,-2870,242.07835,0,193853.15,0,0,0,193853.15,0,0,0,0,0,0,-295,842025.05,0,834880.35,7144.7,0,0,1,0,451335.375155
20161121,031116,669848.32165,836947.97165,9999,0,-3670,242.07835,0,167099.65,0,0,0,167099.65,0,0,0,0,0,0,-1165,842025.05,0,834880.35,7144.7,0,0,1,0,468893.825155
20161121,031116,670068.32165,835925.97165,9999,0,-3790,244.07835,0,165857.65,0,0,0,165857.65,0,0,0,0,0,0,-2065,842025.05,0,834880.35,7144.7,0,0,1,0,469047.825155
20161123,031116,839694.82415,845309.82415,9999,0,-719.999999999993,47.77585,0,5385,0,0,0,5385,0,0,0,0,0,0,230,845847.6,0,837800,8047.6,0,0,1,0,587947.376905
20161123,031116,829352.992075,841475.992075,9999,0,-3929.99999999999,556.607925,0,12008,0,0,0,12008,0,0,0,0,0,0,115,845847.6,0,837800,8047.6,0,0,1,0,580627.5944525
20161123,031116,829312.992075,841320.992075,9999,0,-3929.99999999999,556.607925,0,12008,0,0,0,12008,0,0,0,0,0,0,-40,845847.6,0,837800,8047.6,0,0,1,0,580519.0944525
20161123,031116,840660.02155,840660.02155,9999,0,-4604.99999999999,582.578449999999,0,0,0,0,0,0,0,0,0,0,0,0,0,845847.6,0,837800,8047.6,0,0,1,0,588462.015085
20161123,031116,830809.92155,840301.62155,9999,0,-4604.99999999999,590.978449999999,0,9491.7,0,0,0,9491.7,0,0,0,0,0,0,-350,845847.6,0,837800,8047.6,0,0,1,0,581566.945085
20161123,031116,832560.50205,840439.50205,9999,0,-4774.99999999999,593.097949999999,0,7879,0,0,0,7879,0,0,0,0,0,0,-40,845847.6,0,837800,8047.6,0,0,1,0,582792.351435
20161123,031116,832179.75205,840067.50205,9999,0,-4999.99999999999,595.097949999999,0,7887.75,0,0,0,7887.75,0,0,0,0,0,0,-185,845847.6,0,837800,8047.6,0,0,1,0,582525.826435
20161123,031116,832050.47315,839589.92315,9999,0,-5389.99999999999,602.676849999999,0,7539.45,0,0,0,7539.45,0,0,0,0,0,0,-265,845847.6,0,837800,8047.6,0,0,1,0,582435.331205
20161122,031116,827328.48,849231.48,9999,0,0,0,0,15543,0,0,0,15543,0,0,0,0,0,0,6360,842871.48,0,827328.48,15543,0,0,1,0,583581.936
20161124,031116,831266.12,838815.77,9999,0,0,0,0,7549.65,0,0,0,7549.65,0,0,0,0,0,0,0,838815.77,0,831266.12,7549.65,0,0,1,0,581886.284
20161124,031116,832488.84295,837960.59295,9999,0,-809.999999999989,45.17705,0,5471.75,0,0,0,5471.75,0,0,0,0,0,0,0,838815.77,0,831266.12,7549.65,0,0,1,0,582742.190065
20161124,031116,829435.29455,839181.29455,9999,0,520.000000000011,104.47545,0,9226,0,0,0,9226,0,0,0,0,0,0,-50,838815.77,0,831266.12,7549.65,0,0,1,0,580968.706185
20161124,031116,820393.53395,837832.23395,9999,0,-1409.99999999998,133.53605,0,16878.7,0,0,0,16878.7,0,0,0,0,0,0,560,838815.77,0,831266.12,7549.65,0,0,1,0,574667.473765
20161124,031116,821637.03395,838039.23395,9999,0,-1449.99999999998,136.53605,0,15592.2,0,0,0,15592.2,0,0,0,0,0,0,810,838815.77,0,831266.12,7549.65,0,0,1,0,575712.923765
20161123,031116,837800,848367.6,9999,0,0,0,0,8047.6,0,0,0,8047.6,0,0,0,0,0,0,2520,845847.6,0,837800,8047.6,0,0,1,0,588224
20161123,031116,826904.2772,848342.8272,9999,0,1060,14.7728,0,18928.55,0,0,0,18928.55,0,0,0,0,0,0,1450,845847.6,0,837800,8047.6,0,0,1,0,580589.99404
20161123,031116,829881.9107,848352.2607,9999,0,880,20.3393,0,15945.35,0,0,0,15945.35,0,0,0,0,0,0,1645,845847.6,0,837800,8047.6,0,0,1,0,582684.83749
20161123,031116,829881.9107,848367.2607,9999,0,880,20.3393,0,15945.35,0,0,0,15945.35,0,0,0,0,0,0,1660,845847.6,0,837800,8047.6,0,0,1,0,582695.33749
20161123,031116,829881.9107,848722.2607,9999,0,880,20.3393,0,15945.35,0,0,0,15945.35,0,0,0,0,0,0,2015,845847.6,0,837800,8047.6,0,0,1,0,582943.83749
20161123,031116,831553.5107,848637.2607,9999,0,720,20.3393,0,14273.75,0,0,0,14273.75,0,0,0,0,0,0,2090,845847.6,0,837800,8047.6,0,0,1,0,584054.45749
20161123,031116,831553.5107,848747.2607,9999,0,720,20.3393,0,14273.75,0,0,0,14273.75,0,0,0,0,0,0,2200,845847.6,0,837800,8047.6,0,0,1,0,584131.45749
20161123,031116,832493.5107,848615.7607,9999,0,830,21.8393,0,13332.25,0,0,0,13332.25,0,0,0,0,0,0,1960,845847.6,0,837800,8047.6,0,0,1,0,584698.45749
20161123,031116,832493.5107,848875.7607,9999,0,830,21.8393,0,13332.25,0,0,0,13332.25,0,0,0,0,0,0,2220,845847.6,0,837800,8047.6,0,0,1,0,584880.45749
20161123,031116,832493.5107,848795.7607,9999,0,830,21.8393,0,13332.25,0,0,0,13332.25,0,0,0,0,0,0,2140,845847.6,0,837800,8047.6,0,0,1,0,584824.45749
20161125,031116,821214.36,835011.06,9999,0,0,0,0,13796.7,0,0,0,13796.7,0,0,0,0,0,0,0,835011.06,0,821214.36,13796.7,0,0,1,0,574850.052
20161125,031116,834986.7991,836431.7991,9999,0,1445,24.2609,0,0,0,0,0,0,0,0,0,0,0,0,0,835011.06,0,821214.36,13796.7,0,0,1,0,585502.25937
20161125,031116,834970.1277,836350.1277,9999,0,1380,40.9323,0,0,0,0,0,0,0,0,0,0,0,0,0,835011.06,0,821214.36,13796.7,0,0,1,0,585445.08939
20161125,20051875,0,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20161125,901200953,1,1,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
20161125,031116,817499.566975,836327.466975,9999,0,1440,88.593025,0,17387.9,0,0,0,17387.9,0,0,0,0,0,0,-34.9999999999927,835011.06,0,821214.36,13796.7,0,0,1,0,573257.6968825
