09:53:59.734 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:53:59,毫秒数:536,平均价:562.528170889721,最新价与平均价距离:2.47182911027926,成交量:555680,交易日:20170405 
09:54:59.737 DEBUG [7] 合约:i1709,最新价:564.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:54:59,毫秒数:451,平均价:562.533603231598,最新价与平均价距离:1.96639676840209,成交量:557000,交易日:20170405 
09:55:59.758 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:55:59,毫秒数:939,平均价:562.544956352015,最新价与平均价距离:2.45504364798489,成交量:559476,交易日:20170405 
09:57:00.241 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:56:58,毫秒数:980,平均价:562.563207627631,最新价与平均价距离:2.93679237236938,成交量:562796,交易日:20170405 
09:58:00.237 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:57:59,毫秒数:993,平均价:562.574775501825,最新价与平均价距离:2.42522449817534,成交量:565038,交易日:20170405 
09:58:59.738 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:58:59,毫秒数:449,平均价:562.595983571393,最新价与平均价距离:2.40401642860661,成交量:568764,交易日:20170405 
09:59:59.746 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:59:59,毫秒数:986,平均价:562.618164703746,最新价与平均价距离:4.38183529625439,成交量:572616,交易日:20170405 
10:01:00.240 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:00:59,毫秒数:786,平均价:562.651576240625,最新价与平均价距离:3.34842375937455,成交量:577894,交易日:20170405 
10:01:59.739 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:01:59,毫秒数:961,平均价:562.659488562216,最新价与平均价距离:3.34051143778436,成交量:579308,交易日:20170405 
10:02:59.239 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:02:59,毫秒数:510,平均价:562.687719820958,最新价与平均价距离:2.81228017904175,成交量:583998,交易日:20170405 
10:03:59.243 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:03:59,毫秒数:244,平均价:562.702975977663,最新价与平均价距离:2.29702402233681,成交量:587370,交易日:20170405 
10:05:00.347 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:04:59,毫秒数:541,平均价:562.712778411173,最新价与平均价距离:2.78722158882692,成交量:589416,交易日:20170405 
10:05:59.740 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:05:58,毫秒数:521,平均价:562.722272221301,最新价与平均价距离:3.77772777869882,成交量:591122,交易日:20170405 
10:06:59.242 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:06:59,毫秒数:497,平均价:562.734693671125,最新价与平均价距离:3.26530632887489,成交量:593186,交易日:20170405 
10:08:00.148 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:07:59,毫秒数:670,平均价:562.73941098833,最新价与平均价距离:3.76058901166982,成交量:594012,交易日:20170405 
10:08:59.741 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:08:58,毫秒数:504,平均价:562.750847230145,最新价与平均价距离:3.2491527698553,成交量:596060,交易日:20170405 
10:09:59.743 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:09:59,毫秒数:410,平均价:562.768448397176,最新价与平均价距离:3.73155160282386,成交量:599754,交易日:20170405 
10:11:00.242 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:10:59,毫秒数:942,平均价:562.778627641995,最新价与平均价距离:2.72137235800471,成交量:601534,交易日:20170405 
10:11:59.744 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:11:59,毫秒数:680,平均价:562.783986953045,最新价与平均价距离:2.71601304695514,成交量:602746,交易日:20170405 
10:12:59.744 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:12:59,毫秒数:990,平均价:562.787228049245,最新价与平均价距离:2.71277195075481,成交量:603510,交易日:20170405 
10:13:59.243 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:13:59,毫秒数:543,平均价:562.796610561361,最新价与平均价距离:3.20338943863874,成交量:605528,交易日:20170405 
10:14:59.900 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:14:59,毫秒数:989,平均价:562.816012532061,最新价与平均价距离:3.68398746793912,成交量:608998,交易日:20170405 
10:29:59.765 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:15:00,毫秒数:269,平均价:562.816022988506,最新价与平均价距离:3.18397701149433,成交量:609000,交易日:20170405 
10:30:59.767 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:30:58,毫秒数:907,平均价:562.844496477198,最新价与平均价距离:3.65550352280206,成交量:613716,交易日:20170405 
10:31:59.767 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:31:59,毫秒数:871,平均价:562.858838258523,最新价与平均价距离:2.64116174147694,成交量:616626,交易日:20170405 
10:32:59.267 DEBUG [7] 合约:i1709,最新价:564.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:32:59,毫秒数:421,平均价:562.868553812564,最新价与平均价距离:1.63144618743559,成交量:619242,交易日:20170405 
10:33:59.768 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:33:59,毫秒数:975,平均价:562.87926140017,最新价与平均价距离:3.12073859983025,成交量:622096,交易日:20170405 
10:35:00.772 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:34:59,毫秒数:529,平均价:562.883598707205,最新价与平均价距离:2.61640129279499,成交量:623146,交易日:20170405 
10:36:03.270 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:35:59,毫秒数:771,平均价:562.888748826735,最新价与平均价距离:2.61125117326526,成交量:624326,交易日:20170405 
10:37:02.271 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:36:59,毫秒数:539,平均价:562.890195212069,最新价与平均价距离:3.10980478793067,成交量:624654,交易日:20170405 
10:38:00.270 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:37:58,毫秒数:60,平均价:562.892268781735,最新价与平均价距离:3.10773121826514,成交量:625102,交易日:20170405 
10:38:59.270 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:38:59,毫秒数:562,平均价:562.89958952294,最新价与平均价距离:3.60041047705988,成交量:626588,交易日:20170405 
10:39:59.772 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:39:59,毫秒数:477,平均价:562.902166251511,最新价与平均价距离:3.59783374848894,成交量:627074,交易日:20170405 
10:41:00.274 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:40:59,毫秒数:918,平均价:562.941251626679,最新价与平均价距离:3.55874837332124,成交量:633192,交易日:20170405 
10:41:59.775 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:41:59,毫秒数:473,平均价:562.955145940944,最新价与平均价距离:3.54485405905632,成交量:635394,交易日:20170405 
10:43:00.272 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:42:59,毫秒数:38,平均价:562.967867037749,最新价与平均价距离:4.03213296225067,成交量:637414,交易日:20170405 
10:43:59.776 DEBUG [7] 合约:i1709,最新价:568,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:43:59,毫秒数:553,平均价:562.996308640089,最新价与平均价距离:5.0036913599107,成交量:641498,交易日:20170405 
10:45:00.274 DEBUG [7] 合约:i1709,最新价:567.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:44:58,毫秒数:966,平均价:563.013719346514,最新价与平均价距离:4.48628065348555,成交量:644054,交易日:20170405 
10:45:59.774 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:45:59,毫秒数:9,平均价:563.044856361613,最新价与平均价距离:3.95514363838697,成交量:648782,交易日:20170405 
10:47:00.276 DEBUG [7] 合约:i1709,最新价:567.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:46:59,毫秒数:945,平均价:563.053586754894,最新价与平均价距离:4.44641324510644,成交量:650142,交易日:20170405 
10:47:59.780 DEBUG [7] 合约:i1709,最新价:567.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:47:59,毫秒数:453,平均价:563.06613050653,最新价与平均价距离:4.43386949346973,成交量:652044,交易日:20170405 
10:48:59.777 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:48:57,毫秒数:339,平均价:563.080748815079,最新价与平均价距离:3.919251184921,成交量:654474,交易日:20170405 
10:49:59.776 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:49:59,毫秒数:924,平均价:563.084124333286,最新价与平均价距离:3.41587566671444,成交量:655078,交易日:20170405 
10:51:00.277 DEBUG [7] 合约:i1709,最新价:567.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:10:50:59,毫秒数:819,平均价:563.097164014207,最新价与平均价距离:4.40283598579265,成交量:657126,交易日:20170405 
