09:44:01.515 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:43:59,毫秒数:856,平均价:2888.26992538045,最新价与平均价距离:-13.2699253804476,成交量:571432,交易日:20170310 
09:45:02.129 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:44:59,毫秒数:374,平均价:2888.17084364704,最新价与平均价距离:-12.170843647044,成交量:576094,交易日:20170310 
09:46:01.617 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:45:59,毫秒数:288,平均价:2888.0309655793,最新价与平均价距离:-13.0309655792998,成交量:582324,交易日:20170310 
09:47:02.012 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:46:59,毫秒数:871,平均价:2887.93048520258,最新价与平均价距离:-12.9304852025825,成交量:586724,交易日:20170310 
09:48:01.515 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:47:59,毫秒数:881,平均价:2887.87526090542,最新价与平均价距离:-12.8752609054222,成交量:589294,交易日:20170310 
09:49:01.512 DEBUG [7] 合约:m1705,最新价:2873,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2873,涨停价:3042,跌停价:2754,更新时间:09:48:59,毫秒数:846,平均价:2887.79767914265,最新价与平均价距离:-14.7976791426527,成交量:592712,交易日:20170310 
09:50:01.508 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2873,涨停价:3042,跌停价:2754,更新时间:09:49:59,毫秒数:369,平均价:2887.72459366306,最新价与平均价距离:-11.7245936630566,成交量:595934,交易日:20170310 
09:51:01.917 DEBUG [7] 合约:m1705,最新价:2872,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:50:59,毫秒数:836,平均价:2887.46375197681,最新价与平均价距离:-15.4637519768053,成交量:607040,交易日:20170310 
09:52:01.510 DEBUG [7] 合约:m1705,最新价:2874,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:51:59,毫秒数:839,平均价:2887.34909377205,最新价与平均价距离:-13.3490937720517,成交量:612208,交易日:20170310 
09:53:01.512 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:52:59,毫秒数:841,平均价:2887.28376340101,最新价与平均价距离:-12.2837634010129,成交量:615252,交易日:20170310 
09:54:01.512 DEBUG [7] 合约:m1705,最新价:2874,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:53:59,毫秒数:691,平均价:2887.23667610085,最新价与平均价距离:-13.2366761008529,成交量:617612,交易日:20170310 
09:55:02.011 DEBUG [7] 合约:m1705,最新价:2873,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:54:59,毫秒数:856,平均价:2887.20764667106,最新价与平均价距离:-14.2076466710614,成交量:618936,交易日:20170310 
09:56:01.511 DEBUG [7] 合约:m1705,最新价:2874,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2872,涨停价:3042,跌停价:2754,更新时间:09:55:59,毫秒数:859,平均价:2887.13972716397,最新价与平均价距离:-13.1397271639717,成交量:621912,交易日:20170310 
09:57:01.509 DEBUG [7] 合约:m1705,最新价:2872,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2871,涨停价:3042,跌停价:2754,更新时间:09:56:59,毫秒数:861,平均价:2887.00277274046,最新价与平均价距离:-15.0027727404554,成交量:627538,交易日:20170310 
09:58:01.510 DEBUG [7] 合约:m1705,最新价:2871,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2870,涨停价:3042,跌停价:2754,更新时间:09:57:59,毫秒数:333,平均价:2886.73698029263,最新价与平均价距离:-15.7369802926341,成交量:638340,交易日:20170310 
09:59:01.625 DEBUG [7] 合约:m1705,最新价:2872,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2870,涨停价:3042,跌停价:2754,更新时间:09:58:59,毫秒数:868,平均价:2886.56194009284,最新价与平均价距离:-14.5619400928363,成交量:645866,交易日:20170310 
10:00:01.509 DEBUG [7] 合约:m1705,最新价:2873,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2870,涨停价:3042,跌停价:2754,更新时间:09:59:59,毫秒数:847,平均价:2886.46765292185,最新价与平均价距离:-13.46765292185,成交量:650136,交易日:20170310 
10:01:01.510 DEBUG [7] 合约:m1705,最新价:2871,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2868,涨停价:3042,跌停价:2754,更新时间:10:00:59,毫秒数:872,平均价:2885.88190252677,最新价与平均价距离:-14.8819025267653,成交量:674934,交易日:20170310 
10:02:02.008 DEBUG [7] 合约:m1705,最新价:2871,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2868,涨停价:3042,跌停价:2754,更新时间:10:01:59,毫秒数:858,平均价:2885.75568009828,最新价与平均价距离:-14.7556800982757,成交量:680534,交易日:20170310 
10:03:01.509 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2868,涨停价:3042,跌停价:2754,更新时间:10:02:59,毫秒数:333,平均价:2885.60317917981,最新价与平均价距离:-16.6031791798091,成交量:686718,交易日:20170310 
10:04:01.512 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2867,涨停价:3042,跌停价:2754,更新时间:10:03:59,毫秒数:823,平均价:2885.4469061035,最新价与平均价距离:-16.4469061035034,成交量:692848,交易日:20170310 
10:05:02.010 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2867,涨停价:3042,跌停价:2754,更新时间:10:04:59,毫秒数:868,平均价:2885.35792742125,最新价与平均价距离:-18.3579274212543,成交量:696292,交易日:20170310 
10:06:01.507 DEBUG [7] 合约:m1705,最新价:2866,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2866,涨停价:3042,跌停价:2754,更新时间:10:05:59,毫秒数:361,平均价:2885.20895458587,最新价与平均价距离:-19.2089545858698,成交量:701808,交易日:20170310 
10:07:01.508 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:06:59,毫秒数:842,平均价:2884.95217381524,最新价与平均价距离:-17.9521738152412,成交量:711284,交易日:20170310 
