09:00:17.456 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498.5,涨停价:551,跌停价:470,更新时间:09:00:15,毫秒数:972,平均价:510.846441166549,最新价与平均价距离:-11.8464411665491,成交量:652180,交易日:20170417 
09:00:17.950 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498.5,涨停价:551,跌停价:470,更新时间:09:00:16,毫秒数:467,平均价:510.834858478572,最新价与平均价距离:-11.3348584785719,成交量:652834,交易日:20170417 
09:00:18.456 DEBUG [7] 合约:i1709,最新价:498.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498,涨停价:551,跌停价:470,更新时间:09:00:16,毫秒数:958,平均价:510.805193674077,最新价与平均价距离:-12.3051936740774,成交量:654450,交易日:20170417 
09:00:18.952 DEBUG [7] 合约:i1709,最新价:498.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498,涨停价:551,跌停价:470,更新时间:09:00:17,毫秒数:458,平均价:510.786292746486,最新价与平均价距离:-12.2862927464856,成交量:655434,交易日:20170417 
09:00:19.454 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498,涨停价:551,跌停价:470,更新时间:09:00:17,毫秒数:968,平均价:510.773998890366,最新价与平均价距离:-12.7739988903657,成交量:656072,交易日:20170417 
09:00:19.956 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498,涨停价:551,跌停价:470,更新时间:09:00:18,毫秒数:466,平均价:510.762833613026,最新价与平均价距离:-12.7628336130256,成交量:656674,交易日:20170417 
09:00:20.453 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498,涨停价:551,跌停价:470,更新时间:09:00:18,毫秒数:961,平均价:510.733353691145,最新价与平均价距离:-11.7333536911447,成交量:658224,交易日:20170417 
09:00:20.953 DEBUG [7] 合约:i1709,最新价:498.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497.5,涨停价:551,跌停价:470,更新时间:09:00:19,毫秒数:462,平均价:510.725362483869,最新价与平均价距离:-12.2253624838685,成交量:658650,交易日:20170417 
09:00:21.457 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:19,毫秒数:969,平均价:510.704544972246,最新价与平均价距离:-12.7045449722457,成交量:659718,交易日:20170417 
09:00:21.962 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:20,毫秒数:463,平均价:510.696619443502,最新价与平均价距离:-11.6966194435018,成交量:660128,交易日:20170417 
09:00:22.462 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:20,毫秒数:959,平均价:510.687180410951,最新价与平均价距离:-12.687180410951,成交量:660614,交易日:20170417 
09:00:22.950 DEBUG [7] 合约:i1709,最新价:497.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:21,毫秒数:468,平均价:510.679440437145,最新价与平均价距离:-13.1794404371452,成交量:661016,交易日:20170417 
09:00:23.451 DEBUG [7] 合约:i1709,最新价:497.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:21,毫秒数:963,平均价:510.655109781102,最新价与平均价距离:-13.1551097811022,成交量:662318,交易日:20170417 
09:00:23.953 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:22,毫秒数:471,平均价:510.648341134964,最新价与平均价距离:-12.6483411349637,成交量:662682,交易日:20170417 
09:00:24.459 DEBUG [7] 合约:i1709,最新价:498,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:22,毫秒数:971,平均价:510.634044984128,最新价与平均价距离:-12.634044984128,成交量:663434,交易日:20170417 
09:00:24.960 DEBUG [7] 合约:i1709,最新价:498.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:23,毫秒数:452,平均价:510.620948070252,最新价与平均价距离:-12.1209480702515,成交量:664128,交易日:20170417 
