10:14:04.956 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:13:59,毫秒数:989,平均价:551.40565126824,最新价与平均价距离:1.59434873176042,成交量:776746,交易日:20170328 
10:30:01.635 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:14:59,毫秒数:838,平均价:551.40975239592,最新价与平均价距离:1.59024760407999,成交量:778824,交易日:20170328 
10:31:01.463 DEBUG [7] 合约:i1709,最新价:554,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:30:59,毫秒数:442,平均价:551.429510830679,最新价与平均价距离:2.57048916932115,成交量:785454,交易日:20170328 
10:32:01.969 DEBUG [7] 合约:i1709,最新价:554,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:31:59,毫秒数:957,平均价:551.443544058975,最新价与平均价距离:2.55645594102521,成交量:790032,交易日:20170328 
10:33:00.965 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:32:58,毫秒数:546,平均价:551.468349693067,最新价与平均价距离:4.03165030693333,成交量:796264,交易日:20170328 
10:34:00.971 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:33:56,毫秒数:495,平均价:551.495302850727,最新价与平均价距离:4.50469714927328,成交量:801550,交易日:20170328 
10:35:00.969 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:34:59,毫秒数:554,平均价:551.505265175178,最新价与平均价距离:3.49473482482188,成交量:803582,交易日:20170328 
10:36:01.467 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:35:59,毫秒数:982,平均价:551.509110595091,最新价与平均价距离:3.49088940490878,成交量:804448,交易日:20170328 
10:37:00.973 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:36:59,毫秒数:619,平均价:551.522206669309,最新价与平均价距离:4.4777933306907,成交量:807280,交易日:20170328 
10:38:01.970 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:37:55,毫秒数:42,平均价:551.552281057609,最新价与平均价距离:4.44771894239079,成交量:812474,交易日:20170328 
10:39:00.971 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:38:58,毫秒数:981,平均价:551.561283375448,最新价与平均价距离:3.43871662455217,成交量:814446,交易日:20170328 
10:40:00.974 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:39:59,毫秒数:551,平均价:551.57114207847,最新价与平均价距离:3.42885792153027,成交量:816774,交易日:20170328 
