21:36:05.263 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:35:59,毫秒数:769,平均价:576.806981418492,最新价与平均价距离:-0.306981418491546,成交量:142292,交易日:20170327 
21:37:04.766 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:36:59,毫秒数:775,平均价:576.813730929265,最新价与平均价距离:0.686269070735079,成交量:144200,交易日:20170327 
21:38:05.265 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:37:59,毫秒数:703,平均价:576.817001294445,最新价与平均价距离:0.182998705555065,成交量:145236,交易日:20170327 
21:39:06.268 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:38:58,毫秒数:797,平均价:576.817842460574,最新价与平均价距离:0.682157539426157,成交量:145462,交易日:20170327 
21:40:05.267 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:39:58,毫秒数:805,平均价:576.82771883649,最新价与平均价距离:0.172281163510092,成交量:147416,交易日:20170327 
21:41:04.769 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:40:59,毫秒数:753,平均价:576.829749996634,最新价与平均价距离:0.170250003365709,成交量:148558,交易日:20170327 
21:42:05.767 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:41:59,毫秒数:790,平均价:576.826377039565,最新价与平均价距离:-0.826377039564932,成交量:150032,交易日:20170327 
21:43:07.271 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:42:59,毫秒数:823,平均价:576.823707964954,最新价与平均价距离:0.176292035046345,成交量:150886,交易日:20170327 
21:44:05.268 DEBUG [8] 合约:i1709,最新价:575,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:43:59,毫秒数:815,平均价:576.800789299739,最新价与平均价距离:-1.80078929973945,成交量:154314,交易日:20170327 
21:45:05.772 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:44:59,毫秒数:741,平均价:576.775287188164,最新价与平均价距离:-1.27528718816393,成交量:157214,交易日:20170327 
21:46:04.770 DEBUG [8] 合约:i1709,最新价:575,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:45:59,毫秒数:804,平均价:576.715206581128,最新价与平均价距离:-1.71520658112831,成交量:162890,交易日:20170327 
21:47:04.770 DEBUG [8] 合约:i1709,最新价:574.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:46:59,毫秒数:243,平均价:576.677437833144,最新价与平均价距离:-2.17743783314438,成交量:165844,交易日:20170327 
21:48:05.271 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:47:59,毫秒数:759,平均价:576.609617518248,最新价与平均价距离:-1.10961751824823,成交量:171250,交易日:20170327 
21:49:04.772 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:48:58,毫秒数:826,平均价:576.595104394144,最新价与平均价距离:-1.09510439414419,成交量:173094,交易日:20170327 
21:50:04.776 DEBUG [8] 合约:i1709,最新价:578,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:49:59,毫秒数:812,平均价:576.645690930491,最新价与平均价距离:1.35430906950887,成交量:185214,交易日:20170327 
21:51:06.772 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:50:59,毫秒数:821,平均价:576.652693370166,最新价与平均价距离:0.347306629834293,成交量:188240,交易日:20170327 
21:52:04.777 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:51:59,毫秒数:251,平均价:576.655575728318,最新价与平均价距离:-0.155575728318354,成交量:190576,交易日:20170327 
21:53:06.775 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:52:57,毫秒数:763,平均价:576.653909976101,最新价与平均价距离:-0.153909976100749,成交量:191638,交易日:20170327 
21:54:08.274 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:53:59,毫秒数:824,平均价:576.652939715908,最新价与平均价距离:0.347060284091526,成交量:193318,交易日:20170327 
21:55:06.278 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:54:57,毫秒数:731,平均价:576.650471814481,最新价与平均价距离:-0.650471814481307,成交量:194568,交易日:20170327 
21:56:05.279 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:55:59,毫秒数:309,平均价:576.647693296734,最新价与平均价距离:-0.147693296733564,成交量:195994,交易日:20170327 
21:57:05.276 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:56:59,毫秒数:720,平均价:576.646726586886,最新价与平均价距离:-0.646726586885961,成交量:196706,交易日:20170327 
21:58:09.279 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:57:58,毫秒数:158,平均价:576.643620142022,最新价与平均价距离:-0.143620142021859,成交量:197716,交易日:20170327 
21:59:06.279 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:58:57,毫秒数:270,平均价:576.642137897075,最新价与平均价距离:-0.14213789707469,成交量:199018,交易日:20170327 
22:00:04.781 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:21:59:56,毫秒数:767,平均价:576.646937521068,最新价与平均价距离:-0.146937521067571,成交量:201732,交易日:20170327 
22:01:04.780 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:00:57,毫秒数:735,平均价:576.646932206402,最新价与平均价距离:-0.646932206402198,成交量:202556,交易日:20170327 
22:02:04.782 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:01:59,毫秒数:694,平均价:576.645328057187,最新价与平均价距离:-0.145328057186589,成交量:203684,交易日:20170327 
22:03:06.283 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:02:59,毫秒数:304,平均价:576.635418076365,最新价与平均价距离:-1.13541807636534,成交量:206900,交易日:20170327 
22:04:04.782 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:03:59,毫秒数:223,平均价:576.631057141759,最新价与平均价距离:-0.131057141759243,成交量:208184,交易日:20170327 
22:05:06.784 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:04:57,毫秒数:807,平均价:576.629057446156,最新价与平均价距离:-1.12905744615625,成交量:208752,交易日:20170327 
22:06:12.783 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:05:58,毫秒数:270,平均价:576.626832039567,最新价与平均价距离:-0.126832039567262,成交量:209466,交易日:20170327 
22:07:05.284 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:06:58,毫秒数:834,平均价:576.625169012207,最新价与平均价距离:-0.625169012206925,成交量:210044,交易日:20170327 
22:08:08.786 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:07:58,毫秒数:97,平均价:576.624726477024,最新价与平均价距离:-0.124726477024069,成交量:210220,交易日:20170327 
22:09:05.285 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:08:59,毫秒数:786,平均价:576.621973885091,最新价与平均价距离:-1.1219738850906,成交量:210914,交易日:20170327 
22:10:05.285 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:09:57,毫秒数:700,平均价:576.61913913101,最新价与平均价距离:-0.619139131009547,成交量:211786,交易日:20170327 
22:11:05.286 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:10:56,毫秒数:299,平均价:576.617570037115,最新价与平均价距离:-0.117570037114547,成交量:212316,交易日:20170327 
22:12:04.787 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:11:59,毫秒数:804,平均价:576.617165102029,最新价与平均价距离:0.382834897970724,成交量:213468,交易日:20170327 
22:13:04.786 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:12:57,毫秒数:296,平均价:576.617297625724,最新价与平均价距离:-0.117297625724404,成交量:213960,交易日:20170327 
22:14:06.289 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:13:59,毫秒数:262,平均价:576.620755557205,最新价与平均价距离:0.879244442795084,成交量:215576,交易日:20170327 
22:15:04.793 DEBUG [8] 合约:i1709,最新价:578,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:14:59,毫秒数:801,平均价:576.64916731251,最新价与平均价距离:1.35083268748986,成交量:221932,交易日:20170327 
22:16:06.290 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:15:59,毫秒数:238,平均价:576.655959485697,最新价与平均价距离:0.844040514302606,成交量:223526,交易日:20170327 
22:17:04.790 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:16:59,毫秒数:776,平均价:576.658147235005,最新价与平均价距离:0.341852764995451,成交量:224702,交易日:20170327 
22:18:05.289 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:17:58,毫秒数:329,平均价:576.659169519485,最新价与平均价距离:0.340830480515024,成交量:225508,交易日:20170327 
22:19:08.790 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:18:59,毫秒数:286,平均价:576.659662599789,最新价与平均价距离:0.340337400210842,成交量:225726,交易日:20170327 
22:20:05.293 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:19:59,毫秒数:152,平均价:576.660478598742,最新价与平均价距离:-0.660478598741861,成交量:226996,交易日:20170327 
22:21:05.293 DEBUG [8] 合约:i1709,最新价:575,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574,涨停价:626,跌停价:534,更新时间:22:20:59,毫秒数:761,平均价:576.613996935909,最新价与平均价距离:-1.61399693590943,成交量:234980,交易日:20170327 
22:22:04.795 DEBUG [8] 合约:i1709,最新价:574.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:573.5,涨停价:626,跌停价:534,更新时间:22:21:59,毫秒数:735,平均价:576.532927279439,最新价与平均价距离:-2.03292727943892,成交量:243810,交易日:20170327 
22:23:04.796 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:573.5,涨停价:626,跌停价:534,更新时间:22:22:58,毫秒数:136,平均价:576.510176198237,最新价与平均价距离:-1.01017619823722,成交量:246654,交易日:20170327 
22:24:05.796 DEBUG [8] 合约:i1709,最新价:575,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:573.5,涨停价:626,跌停价:534,更新时间:22:23:58,毫秒数:737,平均价:576.503644008975,最新价与平均价距离:-1.50364400897479,成交量:247804,交易日:20170327 
22:25:04.823 DEBUG [8] 合约:i1709,最新价:575,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:573.5,涨停价:626,跌停价:534,更新时间:22:24:59,毫秒数:847,平均价:576.492254953786,最新价与平均价距离:-1.49225495378607,成交量:249708,交易日:20170327 
